date,weather,avg_temp,avg_wind,avg_humidity,pressure,precipitation,rain
2022-11-17,"Днем 17 ноября 2022 года в Москве характер погоды был таким:             сплошная облачность с просветами, ливневый снег, слабый ливневый снег, ливневые осадки, пасмурно или облачность более 5 баллов, облачность увеличилась от менее 5 баллов до более 5 баллов.
            Давление было ниже нормы.
            Температура воздуха -3…-5°C.

            Ветер северо-восточный слабый, 1—2 м/с.
            Влажность воздуха 73—92%.",-4.0,1.5,82.5,ниже нормы,Были осадки,Не было дождя
2022-11-18,"Днем 18 ноября 2022 года в Москве характер погоды был таким:             сплошная облачность без просветов, слабый ливневый снег, ливневый снег, ливневые осадки, пасмурно или облачность более 5 баллов.
            Давление было ниже нормы.
            Температура воздуха -5…-6°C.

            Ветер северный слабый, 1—2 м/с.
            Влажность воздуха 78—89%.",-5.5,1.5,83.5,ниже нормы,Были осадки,Не было дождя
2022-11-19,"Днем 19 ноября 2022 года в Москве характер погоды был таким:             сплошная облачность без просветов, слабый снег с перерывами, снег, дождь со снегом или другие виды осадков, пасмурно или облачность более 5 баллов.
            Давление было в пределах нормы.
            Температура воздуха -3…-5°C.

            Ветер восточный слабый, 0—2 м/с.
            Влажность воздуха 83—92%.",-4.0,1.0,87.5,в пределах нормы,Были осадки,Был дождь
2022-11-20,"Днем 20 ноября 2022 года в Москве характер погоды был таким:             сплошная облачность без просветов, слабый ливневый снег, ливневые осадки, пасмурно или облачность более 5 баллов, снег, дождь со снегом или другие виды осадков.
            Давление было в пределах нормы.
            Температура воздуха -2…-4°C.

            Ветер северный слабый, 0—1 м/с.
            Влажность воздуха 76—92%.",-3.0,0.5,84.0,в пределах нормы,Были осадки,Был дождь
2022-11-21,"Днем 21 ноября 2022 года в Москве характер погоды был таким:             сплошная облачность без просветов, осадков и погодных явлений не неблюдалось.
            Давление было в пределах нормы.
            Температура воздуха -4…-5°C.

            Ветер северо-восточный слабый, 1 м/с.
            Влажность воздуха 81—89%.",-4.5,,85.0,в пределах нормы,Без осадков,Не было дождя
2022-11-22,"Днем 22 ноября 2022 года в Москве характер погоды был таким:             сплошная облачность без просветов, слабый дождь, ледяной дождь, слабый дождь с перерывами, дождь, снег, дождь со снегом или другие виды осадков, пасмурно или облачность более 5 баллов.
            Давление было ниже нормы.
            Температура воздуха -3…+1°C.

            Ветер восточный слабый, 1—2 м/с.
            Влажность воздуха 93—96%.",-1.0,1.5,94.5,ниже нормы,Были осадки,Был дождь
2022-11-23,"Днем 23 ноября 2022 года в Москве характер погоды был таким:             сплошная облачность без просветов, слабая морось, дымка, морось, пасмурно или облачность более 5 баллов, дождь.
            Давление было ниже нормы.
            Температура воздуха -1…+1°C.

            Ветер северный слабый, 1—2 м/с.
            Влажность воздуха 92—97%.",0.0,1.5,94.5,ниже нормы,Были осадки,Был дождь
2022-11-24,"Днем 24 ноября 2022 года в Москве характер погоды был таким:             сплошная облачность без просветов, снег, дождь со снегом или другие виды осадков, пасмурно или облачность более 5 баллов.
            Давление было в пределах нормы.
            Температура воздуха -4…-6°C.

            Ветер северо-восточный слабый, 1—2 м/с.
            Влажность воздуха 82—87%.",-5.0,1.5,84.5,в пределах нормы,Были осадки,Был дождь
2022-11-25,"Днем 25 ноября 2022 года в Москве характер погоды был таким:             сплошная облачность без просветов, осадков и погодных явлений не неблюдалось.
            Давление было в пределах нормы.
            Температура воздуха -5…-6°C.

            Ветер восточный слабый, 1—2 м/с.
            Влажность воздуха 84—87%.",-5.5,1.5,85.5,в пределах нормы,Без осадков,Не было дождя
2022-11-26,"Днем 26 ноября 2022 года в Москве характер погоды был таким:             сплошная облачность без просветов, осадков и погодных явлений не неблюдалось.
            Давление было в пределах нормы.
            Температура воздуха -6°C.

            Ветер восточный слабый, 1—2 м/с.
            Влажность воздуха 88—91%.",-6.0,1.5,89.5,в пределах нормы,Без осадков,Не было дождя
2022-11-27,"Днем 27 ноября 2022 года в Москве характер погоды был таким:             сплошная облачность без просветов, слабый снег с перерывами, снег, дождь со снегом или другие виды осадков, пасмурно или облачность более 5 баллов.
            Давление было в пределах нормы.
            Температура воздуха -3…-5°C.

            Ветер восточный слабый, 1—2 м/с.
            Влажность воздуха 86—91%.",-4.0,1.5,88.5,в пределах нормы,Были осадки,Был дождь
2022-11-28,"Днем 28 ноября 2022 года в Москве характер погоды был таким:             сплошная облачность без просветов, слабый снег с перерывами, снег, дождь со снегом или другие виды осадков, пасмурно или облачность более 5 баллов.
            Давление было в пределах нормы.
            Температура воздуха -4…-5°C.

            Ветер восточный слабый, 1—2 м/с.
            Влажность воздуха 83—92%.",-4.5,1.5,87.5,в пределах нормы,Были осадки,Был дождь
2022-11-29,"Днем 29 ноября 2022 года в Москве характер погоды был таким:             сплошная облачность с просветами, осадков и погодных явлений не неблюдалось.
            Давление было в пределах нормы.
            Температура воздуха -6…-9°C.

            Ветер восточный слабый, 1—2 м/с.
            Влажность воздуха 79—87%.",-7.5,1.5,83.0,в пределах нормы,Без осадков,Не было дождя
2022-11-30,"Днем 30 ноября 2022 года в Москве характер погоды был таким:             ясно, дымка, ясно или облачность менее 5 баллов.
            Давление было в пределах нормы.
            Температура воздуха -7…-12°C.

            Ветер восточный слабый, 0—1 м/с.
            Влажность воздуха 81—90%.",-9.5,0.5,85.5,в пределах нормы,Без осадков,Не было дождя
2022-12-01,"Днем 1 декабря 2022 года в Москве характер погоды был таким:             значительная облачность, дымка, облачность увеличилась от менее 5 баллов до более 5 баллов, пасмурно или облачность более 5 баллов.
            Давление было в пределах нормы.
            Температура воздуха -8…-14°C.

            Ветер северный слабый, 0—1 м/с.
            Влажность воздуха 79—86%.",-11.0,0.5,82.5,в пределах нормы,Без осадков,Не было дождя
2022-12-02,"Днем 2 декабря 2022 года в Москве характер погоды был таким:             значительная облачность, дымка, пасмурно или облачность более 5 баллов, облачность увеличилась от менее 5 баллов до более 5 баллов.
            Давление было в пределах нормы.
            Температура воздуха -8…-12°C.

            Ветер северный слабый, 0—1 м/с.
            Влажность воздуха 77—85%.",-10.0,0.5,81.0,в пределах нормы,Без осадков,Не было дождя
2022-12-03,"Днем 3 декабря 2022 года в Москве характер погоды был таким:             сплошная облачность без просветов, слабый снег, дымка, снег, дождь со снегом или другие виды осадков, пасмурно или облачность более 5 баллов.
            Давление было выше нормы.
            Температура воздуха -7…-13°C.

            Ветер юго-восточный слабый, 1—3 м/с.
            Влажность воздуха 79—87%.",-10.0,2.0,83.0,выше нормы,Были осадки,Был дождь
2022-12-04,"Днем 4 декабря 2022 года в Москве характер погоды был таким:             значительная облачность, осадков и погодных явлений не неблюдалось.
            Давление было выше нормы.
            Температура воздуха -8…-10°C.

            Ветер юго-восточный слабый, 1—2 м/с.
            Влажность воздуха 68—81%.",-9.0,1.5,74.5,выше нормы,Без осадков,Не было дождя
2022-12-05,"Днем 5 декабря 2022 года в Москве характер погоды был таким:             облачно, осадков и погодных явлений не неблюдалось.
            Давление было в пределах нормы.
            Температура воздуха -8…-11°C.

            Ветер южный слабый, 0—1 м/с.
            Влажность воздуха 58—76%.",-9.5,0.5,67.0,в пределах нормы,Без осадков,Не было дождя
2022-12-06,"Днем 6 декабря 2022 года в Москве характер погоды был таким:             значительная облачность, осадков и погодных явлений не неблюдалось.
            Давление было в пределах нормы.
            Температура воздуха -4…-9°C.

            Ветер южный слабый, 1—2 м/с.
            Влажность воздуха 49—68%.",-6.5,1.5,58.5,в пределах нормы,Без осадков,Не было дождя
2022-12-07,"Днем 7 декабря 2022 года в Москве характер погоды был таким:             ясно, осадков и погодных явлений не неблюдалось.
            Давление было в пределах нормы.
            Температура воздуха -8…-10°C.

            Ветер юго-восточный слабый, 1—3 м/с.
            Влажность воздуха 62—72%.",-9.0,2.0,67.0,в пределах нормы,Без осадков,Не было дождя
2022-12-08,"Днем 8 декабря 2022 года в Москве характер погоды был таким:             сплошная облачность без просветов, умеренный снег, слабый снег, снег, дождь со снегом или другие виды осадков, пасмурно или облачность более 5 баллов.
            Давление было в пределах нормы.
            Температура воздуха -5…-9°C.

            Ветер юго-восточный слабый, 1—3 м/с.
            Влажность воздуха 80—87%.",-7.0,2.0,83.5,в пределах нормы,Были осадки,Был дождь
2022-12-09,"Днем 9 декабря 2022 года в Москве характер погоды был таким:             сплошная облачность без просветов, слабый снег, дымка, пасмурно или облачность более 5 баллов, снег, дождь со снегом или другие виды осадков.
            Давление было в пределах нормы.
            Температура воздуха -4°C.

            Ветер юго-восточный слабый, 1—2 м/с.
            Влажность воздуха 86—93%.",-4.0,1.5,89.5,в пределах нормы,Были осадки,Был дождь
2022-12-10,"Днем 10 декабря 2022 года в Москве характер погоды был таким:             сплошная облачность без просветов, дымка, умеренный снег, слабый снег, пасмурно или облачность более 5 баллов, снег, дождь со снегом или другие виды осадков.
            Давление было ниже нормы.
            Температура воздуха -1…-3°C.

            Ветер северный слабый, 0 м/с.
            Влажность воздуха 91—95%.",-2.0,,93.0,ниже нормы,Были осадки,Был дождь
2022-12-11,"Днем 11 декабря 2022 года в Москве характер погоды был таким:             сплошная облачность без просветов, дымка, слабый дождь или морось со снегом, пасмурно или облачность более 5 баллов, снег, дождь со снегом или другие виды осадков, дождь.
            Давление было ниже нормы.
            Температура воздуха -1°C.

            Ветер северный слабый, 1—2 м/с.
            Влажность воздуха 92—97%.",-1.0,1.5,94.5,ниже нормы,Были осадки,Был дождь
2022-12-12,"Днем 12 декабря 2022 года в Москве характер погоды был таким:             сплошная облачность без просветов, слабый дождь, дождь, дымка, дождь, пасмурно или облачность более 5 баллов.
            Давление было ниже нормы.
            Температура воздуха +2…+3°C.

            Ветер юго-восточный умеренный, 2—3 м/с, порывами до 11 м/с.
            Влажность воздуха 92—93%.",2.5,2.5,92.5,ниже нормы,Были осадки,Был дождь
2022-12-13,"Днем 13 декабря 2022 года в Москве характер погоды был таким:             сплошная облачность без просветов, слабый дождь, дождь, слабый снег, пасмурно или облачность более 5 баллов, дождь, снег, дождь со снегом или другие виды осадков.
            Давление было ниже нормы.
            Температура воздуха -1…+2°C.

            Ветер северный слабый, 0—2 м/с.
            Влажность воздуха 85—95%.",0.5,1.0,90.0,ниже нормы,Были осадки,Был дождь
2022-12-14,"Днем 14 декабря 2022 года в Москве характер погоды был таким:             сплошная облачность без просветов, слабый снег, умеренный снег, снег, дождь со снегом или другие виды осадков, пасмурно или облачность более 5 баллов.
            Давление было ниже нормы.
            Температура воздуха -3…-5°C.

            Ветер юго-западный слабый, 0—2 м/с.
            Влажность воздуха 77—93%.",-4.0,1.0,85.0,ниже нормы,Были осадки,Был дождь
2022-12-15,"Днем 15 декабря 2022 года в Москве характер погоды был таким:             сплошная облачность без просветов, слабый снег, снег, дождь со снегом или другие виды осадков, метель или буря (песчаная или пыльная).
            Давление было в пределах нормы.
            Температура воздуха -4…-6°C.

            Ветер юго-восточный слабый, 0—3 м/с.
            Влажность воздуха 73—92%.",-5.0,1.5,82.5,в пределах нормы,Были осадки,Был дождь
2022-12-16,"Днем 16 декабря 2022 года в Москве характер погоды был таким:             сплошная облачность без просветов, слабый снег, снег, дождь со снегом или другие виды осадков, пасмурно или облачность более 5 баллов.
            Давление было в пределах нормы.
            Температура воздуха -2…-5°C.

            Ветер западный слабый, 0—1 м/с.
            Влажность воздуха 70—87%.",-3.5,0.5,78.5,в пределах нормы,Были осадки,Был дождь
2022-12-17,"Днем 17 декабря 2022 года в Москве характер погоды был таким:             сплошная облачность без просветов, слабый снег, умеренный снег, слабый снег с перерывами, снег, дождь со снегом или другие виды осадков, пасмурно или облачность более 5 баллов.
            Давление было в пределах нормы.
            Температура воздуха -4…-5°C.

            Ветер северо-восточный слабый, 1 м/с.
            Влажность воздуха 89—93%.",-4.5,,91.0,в пределах нормы,Были осадки,Был дождь
2022-12-18,"Днем 18 декабря 2022 года в Москве характер погоды был таким:             сплошная облачность без просветов, умеренный снег, снег, дождь со снегом или другие виды осадков, метель или буря (песчаная или пыльная), пасмурно или облачность более 5 баллов.
            Давление было в пределах нормы.
            Температура воздуха -5…-8°C.

            Ветер северный слабый, 2—3 м/с.
            Влажность воздуха 82—92%.",-6.5,2.5,87.0,в пределах нормы,Были осадки,Был дождь
2022-12-19,"Днем 19 декабря 2022 года в Москве характер погоды был таким:             сплошная облачность без просветов, слабый ливневый снег, ливневые осадки, пасмурно или облачность более 5 баллов.
            Давление было в пределах нормы.
            Температура воздуха -2…-7°C.

            Ветер западный слабый, 1—2 м/с.
            Влажность воздуха 86—88%.",-4.5,1.5,87.0,в пределах нормы,Были осадки,Не было дождя
2022-12-20,"Днем 20 декабря 2022 года в Москве характер погоды был таким:             значительная облачность, осадков и погодных явлений не неблюдалось.
            Давление было в пределах нормы.
            Температура воздуха -6…-10°C.

            Ветер западный слабый, 0—1 м/с.
            Влажность воздуха 63—88%.",-8.0,0.5,75.5,в пределах нормы,Без осадков,Не было дождя
2022-12-21,"Днем 21 декабря 2022 года в Москве характер погоды был таким:             сплошная облачность без просветов, слабый снег с перерывами, слабый дождь или морось со снегом, снег, дождь со снегом или другие виды осадков, пасмурно или облачность более 5 баллов, дождь.
            Давление было ниже нормы.
            Температура воздуха -2…-5°C.

            Ветер юго-восточный слабый, 0—2 м/с.
            Влажность воздуха 85—92%.",-3.5,1.0,88.5,ниже нормы,Были осадки,Был дождь
2022-12-22,"Днем 22 декабря 2022 года в Москве характер погоды был таким:             сплошная облачность без просветов, слабый дождь, дымка, дождь, пасмурно или облачность более 5 баллов.
            Давление было ниже нормы.
            Температура воздуха +1°C.

            Ветер юго-западный слабый, 0—1 м/с.
            Влажность воздуха 93—95%.",1.0,0.5,94.0,ниже нормы,Были осадки,Был дождь
2022-12-23,"Днем 23 декабря 2022 года в Москве характер погоды был таким:             сплошная облачность без просветов, дымка, слабый дождь или морось со снегом, слабый снег с перерывами, пасмурно или облачность более 5 баллов, дождь, снег, дождь со снегом или другие виды осадков.
            Давление было ниже нормы.
            Температура воздуха +1…+2°C.

            Ветер южный слабый, 1 м/с.
            Влажность воздуха 93%.",1.5,,,ниже нормы,Были осадки,Был дождь
2022-12-24,"Днем 24 декабря 2022 года в Москве характер погоды был таким:             сплошная облачность без просветов, слабый дождь с перерывами, слабый дождь, слабый дождь или морось со снегом, дождь, снег, дождь со снегом или другие виды осадков, пасмурно или облачность более 5 баллов.
            Давление было ниже нормы.
            Температура воздуха +1…+2°C.

            Ветер в переменных направлениях слабый, 0—1 м/с.
            Влажность воздуха 89—95%.",1.5,0.5,92.0,ниже нормы,Были осадки,Был дождь
2022-12-25,"Днем 25 декабря 2022 года в Москве характер погоды был таким:             сплошная облачность без просветов, осадков и погодных явлений не неблюдалось.
            Давление было в пределах нормы.
            Температура воздуха -3…-6°C.

            Ветер северо-западный слабый, 0—1 м/с.
            Влажность воздуха 72—85%.",-4.5,0.5,78.5,в пределах нормы,Без осадков,Не было дождя
2022-12-26,"Днем 26 декабря 2022 года в Москве характер погоды был таким:             сплошная облачность без просветов, осадков и погодных явлений не неблюдалось.
            Давление было в пределах нормы.
            Температура воздуха -4…-5°C.

            Ветер восточный слабый, 0—2 м/с.
            Влажность воздуха 73—81%.",-4.5,1.0,77.0,в пределах нормы,Без осадков,Не было дождя
2022-12-27,"Днем 27 декабря 2022 года в Москве характер погоды был таким:             сплошная облачность без просветов, слабый снег, слабый снег с перерывами, умеренный снег, сильный снег, снег, дождь со снегом или другие виды осадков, пасмурно или облачность более 5 баллов.
            Давление было в пределах нормы.
            Температура воздуха -3…-6°C.

            Ветер восточный слабый, 1—2 м/с.
            Влажность воздуха 80—95%.",-4.5,1.5,87.5,в пределах нормы,Были осадки,Был дождь
2022-12-28,"Днем 28 декабря 2022 года в Москве характер погоды был таким:             сплошная облачность без просветов, умеренный снег, слабый ливневый снег, снег, дождь со снегом или другие виды осадков, пасмурно или облачность более 5 баллов, ливневые осадки.
            Давление было ниже нормы.
            Температура воздуха -1…-2°C.

            Ветер северный слабый, 0—1 м/с.
            Влажность воздуха 88—94%.",-1.5,0.5,91.0,ниже нормы,Были осадки,Был дождь
2022-12-29,"Днем 29 декабря 2022 года в Москве характер погоды был таким:             сплошная облачность без просветов, дымка, пасмурно или облачность более 5 баллов.
            Давление было ниже нормы.
            Температура воздуха -2…-3°C.

            Ветер западный слабый, 0—1 м/с.
            Влажность воздуха 87—91%.",-2.5,0.5,89.0,ниже нормы,Без осадков,Не было дождя
2022-12-30,"Днем 30 декабря 2022 года в Москве характер погоды был таким:             сплошная облачность без просветов, слабый снег, дымка, снег, дождь со снегом или другие виды осадков, пасмурно или облачность более 5 баллов.
            Давление было ниже нормы.
            Температура воздуха -1…+1°C.

            Ветер южный слабый, 0—1 м/с.
            Влажность воздуха 91—95%.",0.0,0.5,93.0,ниже нормы,Были осадки,Был дождь
2022-12-31,"Днем 31 декабря 2022 года в Москве характер погоды был таким:             сплошная облачность без просветов, слабый дождь с перерывами, дождь, пасмурно или облачность более 5 баллов, ливневые осадки.
            Давление было ниже нормы.
            Температура воздуха +1…+2°C.

            Ветер северо-западный слабый, 0—1 м/с.
            Влажность воздуха 87—97%.",1.5,0.5,92.0,ниже нормы,Были осадки,Был дождь
